Name ,Code,Abbv,
Anatone,13334300,ANAT,
Arrow,1831,ARDB,
Bonneville,320,BONN,
Brilliant,1652,BRIL,
Brownlee,767,BLEE,
Chief Joseph,1270,CHJO,
Columbia Falls,1520,COLF,
Dwarshak,535,DWOR,
Grand Coulee,1280,GCOU,
Hells Canyon,762,HELC,
Hungry Horse,1530,HHOR,
Ice Harbor,502,ICEH,
John Day,440,JDAY,
Kerr,1510,KERR,
Libby,1760,LIBB,
Little Goose,518,LGOO,
Long Lake,1305,LONG,
Lower Granite,520,LGRA,
Lower Monumental,504,LOMO,
McNary,488,MCNR,
Peck,13341050,PECK,
Priest Rapids,1160,PRAP,
Rock Island,1170,RISL,
Rocky Reach,1200,RREA,
The Dalles,365,DALL,
Wanapum,1165,WANA,
Waneta,1440,WNTA,
Wells,1220,WELL,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
